model,concept,method,optimized_by,train_efficacy,train_specificity,train_harmonic,test_relearning_qa,"train_mmlu (acc, frac, invalid)","train_qa (acc, frac, invalid)","train_simdom (acc, frac, invalid)",test_efficacy,test_specificity,test_harmonic,"test_mmlu (acc, frac, invalid)","test_qa (acc, frac, invalid)","test_simdom (acc, frac, invalid)",config
google/gemma-2-2b-it,Ancient Rome,crisp,mc,0.87,0.73,0.79,0.54,"(0.54, 1.00, 0.00)","(0.32, 0.13, 0.00)","(0.62, 0.57, 0.00)",0.72,0.58,0.64,"(0.54, 0.96, 0.00)","(0.40, 0.28, 0.00)","(0.50, 0.41, 0.00)","(rank=100, seed=42, k_features=20, alpha=10, lr=0.0005, layer_lo=4, layer_hi=14, layer_step=2, num_epochs=2, lora_rank=4)"
google/gemma-2-2b-it,Golf,crisp,mc,1.00,0.56,0.72,0.46,"(0.50, 0.93, 0.00)","(0.08, 0.00, 0.84)","(0.48, 0.40, 0.02)",1.00,0.46,0.63,"(0.55, 1.00, 0.00)","(0.02, 0.00, 0.90)","(0.44, 0.30, 0.02)","(rank=100, seed=42, k_features=20, alpha=5, lr=0.0005, layer_lo=5, layer_hi=21, layer_step=2, num_epochs=2, lora_rank=4)"
google/gemma-2-2b-it,Uranium,crisp,mc,0.77,0.72,0.74,0.40,"(0.48, 0.85, 0.00)","(0.34, 0.23, 0.00)","(0.48, 0.62, 0.00)",1.00,0.72,0.84,"(0.53, 0.92, 0.00)","(0.24, 0.00, 0.00)","(0.54, 0.59, 0.00)","(rank=100, seed=42, k_features=10, alpha=50, lr=0.0001, layer_lo=4, layer_hi=20, layer_step=2, num_epochs=2, lora_rank=4)"
google/gemma-2-2b-it,wmdp-bio,crisp,mc,1.00,1.00,1.00,0.68,"(0.52, 1.00, 0.02)","(0.24, 0.00, 0.24)","(0.68, 1.00, 0.00)",0.98,0.90,0.94,"(0.53, 0.91, 0.02)","(0.26, 0.02, 0.20)","(0.70, 0.88, 0.00)","(rank=100, seed=42, k_features=5, alpha=5, lr=0.0005, layer_lo=5, layer_hi=15, layer_step=2, num_epochs=2, lora_rank=4)"
google/gemma-2-2b-it,wmdp-cyber,crisp,mc,1.00,1.00,1.00,0.24,"(0.54, 1.00, 0.00)","(0.16, 0.00, 0.40)","(0.44, 1.00, 0.00)",1.00,0.98,0.99,"(0.54, 0.96, 0.01)","(0.18, 0.00, 0.34)","(0.36, 1.00, 0.02)","(rank=100, seed=42, k_features=20, alpha=10, lr=0.0001, layer_lo=5, layer_hi=21, layer_step=2, num_epochs=2, lora_rank=4)"
meta-llama/Llama-3.1-8B-Instruct,Ancient Rome,crisp,mc,0.87,0.69,0.77,0.88,"(0.54, 0.78, 0.00)","(0.34, 0.13, 0.00)","(0.68, 0.62, 0.00)",0.72,0.82,0.77,"(0.54, 0.73, 0.00)","(0.44, 0.28, 0.00)","(0.86, 0.94, 0.00)","(rank=200, seed=42, k_features=20, alpha=20, lr=0.0005, layer_lo=5, layer_hi=19, layer_step=2, num_epochs=2, lora_rank=4)"
meta-llama/Llama-3.1-8B-Instruct,Golf,crisp,mc,0.88,0.79,0.83,0.80,"(0.60, 0.95, 0.00)","(0.32, 0.12, 0.00)","(0.70, 0.67, 0.00)",0.89,0.91,0.90,"(0.63, 0.95, 0.00)","(0.32, 0.11, 0.00)","(0.82, 0.88, 0.00)","(rank=200, seed=42, k_features=20, alpha=50, lr=0.0001, layer_lo=4, layer_hi=28, layer_step=2, num_epochs=2, lora_rank=4)"
meta-llama/Llama-3.1-8B-Instruct,Uranium,crisp,mc,1.00,0.79,0.89,0.66,"(0.62, 1.00, 0.00)","(0.24, 0.00, 0.00)","(0.56, 0.66, 0.00)",0.76,0.81,0.79,"(0.62, 0.93, 0.00)","(0.38, 0.24, 0.00)","(0.56, 0.72, 0.00)","(rank=200, seed=42, k_features=20, alpha=20, lr=0.0001, layer_lo=5, layer_hi=29, layer_step=2, num_epochs=2, lora_rank=4)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-bio,crisp,mc,0.98,0.82,0.89,0.68,"(0.54, 0.78, 0.06)","(0.26, 0.02, 0.64)","(0.74, 0.86, 0.08)",1.00,0.78,0.88,"(0.56, 0.78, 0.05)","(0.20, 0.00, 0.68)","(0.76, 0.78, 0.02)","(rank=200, seed=42, k_features=5, alpha=10, lr=0.0005, layer_lo=4, layer_hi=28, layer_step=2, num_epochs=2, lora_rank=4)"
meta-llama/Llama-3.1-8B-Instruct,wmdp-cyber,crisp,mc,0.82,0.97,0.89,0.48,"(0.60, 0.95, 0.00)","(0.28, 0.18, 0.00)","(0.60, 1.00, 0.00)",1.00,0.00,0.00,"(0.02, 0.00, 0.91)","(0.04, 0.00, 0.84)","(0.06, 0.00, 0.64)","(rank=200, seed=42, k_features=10, alpha=20, lr=5e-05, layer_lo=4, layer_hi=18, layer_step=2, num_epochs=2, lora_rank=4)"
google/gemma-2-2b-it,Ancient Rome,pisces,open,1.00,0.96,0.98,0.34,"(0.52, 1.00, 0.00)","(0.00, 0.00)","(0.78, 0.93)",0.83,0.93,0.87,"(0.55, 1.00, 0.00)","(0.12, 0.17)","(0.76, 0.86)","(rank=100, seed=42, k_pisces=0.8, value_pisces=10, ratio_thresh=2)"
google/gemma-2-2b-it,Golf,pisces,open,0.84,1.00,0.92,0.52,"(0.52, 1.00, 0.00)","(0.10, 0.16)","(0.84, 1.00)",0.79,0.99,0.88,"(0.55, 1.00, 0.00)","(0.14, 0.21)","(0.74, 0.97)","(rank=100, seed=42, k_pisces=0.8, value_pisces=24, ratio_thresh=2)"
google/gemma-2-2b-it,Uranium,pisces,open,0.52,0.71,0.60,0.18,"(0.50, 0.93, 0.00)","(0.20, 0.48)","(0.46, 0.57)",0.57,0.63,0.60,"(0.55, 1.00, 0.00)","(0.20, 0.43)","(0.38, 0.46)","(rank=100, seed=42, k_pisces=0.4, value_pisces=42, ratio_thresh=2)"
meta-llama/Llama-3.1-8B-Instruct,Ancient Rome,pisces,open,0.98,0.94,0.96,0.60,"(0.62, 1.00, 0.00)","(0.02, 0.02)","(0.80, 0.89)",0.93,0.92,0.92,"(0.61, 0.91, 0.00)","(0.06, 0.07)","(0.80, 0.93)","(rank=200, seed=42, k_pisces=0.4, value_pisces=10, ratio_thresh=2)"
meta-llama/Llama-3.1-8B-Instruct,Golf,pisces,open,0.97,0.99,0.98,0.58,"(0.66, 1.00, 0.00)","(0.02, 0.03)","(0.88, 0.98)",0.89,0.97,0.93,"(0.65, 1.00, 0.00)","(0.08, 0.11)","(0.70, 0.95)","(rank=200, seed=42, k_pisces=0.85, value_pisces=7, ratio_thresh=2)"
meta-llama/Llama-3.1-8B-Instruct,Uranium,pisces,open,0.79,0.70,0.74,0.32,"(0.68, 1.00, 0.00)","(0.14, 0.21)","(0.40, 0.54)",0.91,0.79,0.85,"(0.65, 1.00, 0.00)","(0.06, 0.09)","(0.46, 0.66)","(rank=200, seed=42, k_pisces=0.2, value_pisces=10, ratio_thresh=2)"
google/gemma-2-2b-it,Ancient Rome,rmu,mc,0.73,0.92,0.81,0.64,"(0.56, 1.00, 0.00)","(0.40, 0.27, 0.00)","(0.80, 0.85, 0.00)",0.42,0.87,0.56,"(0.54, 0.95, 0.00)","(0.56, 0.58, 0.00)","(0.74, 0.80, 0.00)","(rank=100, seed=42, lr=0.0003, alpha=10, steering=100, setting_name=S2_lid8_L678, layer_id=8, layer_ids=6,7,8, param_ids=6)"
google/gemma-2-2b-it,Golf,rmu,mc,0.92,0.88,0.90,0.52,"(0.52, 1.00, 0.00)","(0.30, 0.08, 0.00)","(0.70, 0.79, 0.00)",0.87,0.68,0.77,"(0.52, 0.89, 0.00)","(0.32, 0.13, 0.00)","(0.60, 0.56, 0.00)","(rank=100, seed=42, lr=0.0003, alpha=50, steering=1000, setting_name=S2_lid8_L678, layer_id=8, layer_ids=6,7,8, param_ids=6)"
google/gemma-2-2b-it,Uranium,rmu,mc,0.87,0.75,0.81,0.44,"(0.48, 0.85, 0.00)","(0.30, 0.13, 0.00)","(0.50, 0.68, 0.00)",0.80,0.65,0.72,"(0.52, 0.89, 0.00)","(0.32, 0.20, 0.00)","(0.50, 0.51, 0.00)","(rank=100, seed=42, lr=0.0003, alpha=50, steering=1000, setting_name=S2_lid8_L678, layer_id=8, layer_ids=6,7,8, param_ids=6)"
